iter	Passed	Remaining
0	145	145374
1	146	73069
2	147	49047
3	148	36930
4	149	29655
5	149	24805
6	150	21350
7	151	18757
8	152	16741
9	152	15121
10	153	13796
11	154	12691
12	154	11757
13	155	10955
14	156	10271
15	157	9686
16	158	9152
17	159	8678
18	159	8253
19	160	7880
20	161	7535
21	162	7218
22	163	6937
23	164	6671
24	164	6425
25	165	6198
26	166	5987
27	166	5791
28	167	5608
29	168	5438
30	169	5283
31	169	5139
32	170	4999
33	171	4866
34	171	4741
35	172	4623
36	173	4512
37	174	4409
38	175	4325
39	176	4231
40	177	4142
41	177	4056
42	178	3974
43	179	3895
44	180	3821
45	180	3750
46	181	3683
47	182	3618
48	183	3556
49	183	3495
50	184	3437
51	185	3381
52	186	3327
53	187	3277
54	187	3228
55	188	3182
56	189	3135
57	190	3090
58	191	3046
59	191	3002
60	192	2961
61	193	2921
62	193	2883
63	194	2845
64	195	2808
65	195	2773
66	196	2739
67	197	2701
68	197	2668
69	198	2637
70	199	2606
71	199	2576
72	200	2547
73	201	2519
74	202	2491
75	202	2465
76	203	2440
77	204	2414
78	205	2390
79	205	2365
80	206	2342
81	207	2319
82	207	2296
83	208	2274
84	209	2249
85	209	2228
86	210	2206
87	211	2186
88	211	2167
89	212	2148
90	213	2129
91	213	2111
92	214	2092
93	215	2074
94	215	2057
95	216	2039
96	217	2023
97	218	2007
98	218	1993
99	219	1977
100	220	1961
101	220	1943
102	221	1928
103	222	1913
104	222	1899
105	223	1884
106	224	1871
107	224	1857
108	225	1844
109	226	1831
110	227	1818
111	227	1806
112	228	1794
113	229	1783
114	230	1771
115	231	1760
116	231	1749
117	233	1742
118	233	1730
119	234	1719
120	235	1708
121	235	1697
122	236	1684
123	236	1673
124	237	1663
125	238	1654
126	239	1645
127	239	1634
128	240	1624
129	241	1615
130	242	1606
131	242	1597
132	243	1588
133	244	1579
134	245	1571
135	245	1562
136	246	1554
137	247	1546
138	248	1538
139	249	1530
140	249	1522
141	250	1513
142	251	1505
143	252	1498
144	252	1490
145	253	1482
146	254	1474
147	254	1466
148	255	1459
149	256	1451
150	256	1444
151	257	1437
152	258	1430
153	258	1422
154	259	1415
155	260	1408
156	260	1401
157	261	1394
158	262	1389
159	263	1383
160	264	1376
161	264	1370
162	265	1364
163	266	1358
164	267	1352
165	268	1346
166	268	1340
167	269	1334
168	270	1328
169	270	1322
170	271	1317
171	272	1311
172	273	1306
173	274	1300
174	274	1295
175	275	1290
176	276	1287
177	277	1283
178	278	1277
179	279	1272
180	279	1265
181	280	1260
182	281	1255
183	281	1249
184	282	1244
185	283	1239
186	283	1234
187	284	1229
188	285	1224
189	285	1219
190	286	1214
191	287	1209
192	287	1204
193	288	1199
194	289	1194
195	290	1189
196	290	1184
197	291	1180
198	292	1177
199	293	1173
200	294	1168
201	294	1164
202	295	1160
203	296	1156
204	296	1151
205	297	1147
206	298	1142
207	299	1139
208	300	1136
209	301	1132
210	301	1129
211	302	1124
212	303	1120
213	304	1116
214	304	1112
215	305	1108
216	306	1105
217	307	1101
218	307	1097
219	308	1093
220	309	1089
221	309	1085
222	310	1081
223	311	1077
224	311	1073
225	312	1070
226	313	1067
227	314	1064
228	315	1061
229	315	1057
230	316	1053
231	317	1050
232	317	1046
233	318	1042
234	319	1039
235	319	1035
236	320	1032
237	321	1029
238	322	1025
239	322	1022
240	323	1018
241	323	1014
242	324	1011
243	325	1007
244	325	1004
245	326	1001
246	327	997
247	327	994
248	328	990
249	329	987
250	329	984
251	330	981
252	331	978
253	331	974
254	332	971
255	333	968
256	333	965
257	334	962
258	335	959
259	336	956
260	336	953
261	337	950
262	338	947
263	338	944
264	339	941
265	339	938
266	340	935
267	341	931
268	341	928
269	342	925
270	343	922
271	343	919
272	344	917
273	345	914
274	345	911
275	346	908
276	346	905
277	347	902
278	348	900
279	348	897
280	349	894
281	350	891
282	350	888
283	351	886
284	352	883
285	352	880
286	353	877
287	353	874
288	354	872
289	355	869
290	355	866
291	356	863
292	356	861
293	357	858
294	358	856
295	358	853
296	359	850
297	360	848
298	360	845
299	361	843
300	362	840
301	362	838
302	363	836
303	364	834
304	365	831
305	365	829
306	366	827
307	367	824
308	367	822
309	368	819
310	368	817
311	369	815
312	370	812
313	370	810
314	371	807
315	372	805
316	372	803
317	373	800
318	374	798
319	374	796
320	375	793
321	375	791
322	376	789
323	377	786
324	377	784
325	378	782
326	378	780
327	379	777
328	380	775
329	380	773
330	381	771
331	382	768
332	382	766
333	383	764
334	383	762
335	384	759
336	385	757
337	385	755
338	386	753
339	386	751
340	387	749
341	388	747
342	388	744
343	389	742
344	390	740
345	390	738
346	391	736
347	392	734
348	392	732
349	393	730
350	393	728
351	394	725
352	394	723
353	395	721
354	396	719
355	396	717
356	397	715
357	397	713
358	398	711
359	399	709
360	399	707
361	400	705
362	400	703
363	401	701
364	402	699
365	402	697
366	403	695
367	404	694
368	404	692
369	405	690
370	405	688
371	406	686
372	407	684
373	407	682
374	408	680
375	408	678
376	409	676
377	410	674
378	410	673
379	411	671
380	411	669
381	412	667
382	413	665
383	413	663
384	414	661
385	414	660
386	415	658
387	416	656
388	416	654
389	417	652
390	418	651
391	418	649
392	419	647
393	420	646
394	420	644
395	421	642
396	422	641
397	422	639
398	423	637
399	423	635
400	424	634
401	425	632
402	425	630
403	426	628
404	426	627
405	427	625
406	428	623
407	428	622
408	429	620
409	430	618
410	430	617
411	431	615
412	431	613
413	432	612
414	433	610
415	434	609
416	434	607
417	435	606
418	436	604
419	436	603
420	437	601
421	438	599
422	438	598
423	439	596
424	439	595
425	440	593
426	441	591
427	441	590
428	442	588
429	442	587
430	443	585
431	444	584
432	444	582
433	445	581
434	446	579
435	447	578
436	447	576
437	448	575
438	449	574
439	449	572
440	450	571
441	451	569
442	451	568
443	452	566
444	453	565
445	453	563
446	454	562
447	454	560
448	455	559
449	456	557
450	456	556
451	457	554
452	458	553
453	458	551
454	459	550
455	459	548
456	460	547
457	461	545
458	462	544
459	462	543
460	463	541
461	463	540
462	464	538
463	465	537
464	465	535
465	466	534
466	466	532
467	467	531
468	468	530
469	468	528
470	469	527
471	470	525
472	470	524
473	471	522
474	471	521
475	472	520
476	473	518
477	473	517
478	474	515
479	474	514
480	475	513
481	476	511
482	476	510
483	477	509
484	478	507
485	478	506
486	479	505
487	480	503
488	480	502
489	481	500
490	481	499
491	482	498
492	483	496
493	483	495
494	484	494
495	484	492
496	485	491
497	486	489
498	486	488
499	487	487
500	487	485
501	488	484
502	489	483
503	489	482
504	490	480
505	491	479
506	491	478
507	492	477
508	493	475
509	493	474
510	494	473
511	495	471
512	495	470
513	496	469
514	496	467
515	497	466
516	498	465
517	498	464
518	499	462
519	499	461
520	500	460
521	501	458
522	501	457
523	502	456
524	503	455
525	504	454
526	504	453
527	505	451
528	506	450
529	506	449
530	507	448
531	508	446
532	508	445
533	509	444
534	509	443
535	510	441
536	511	440
537	511	439
538	512	438
539	512	436
540	513	435
541	514	434
542	514	433
543	515	431
544	515	430
545	516	429
546	517	428
547	517	427
548	518	425
549	519	424
550	519	423
551	520	422
552	521	421
553	521	420
554	522	418
555	523	417
556	523	416
557	524	415
558	525	414
559	525	413
560	526	411
561	527	410
562	527	409
563	528	408
564	529	407
565	529	406
566	530	405
